lead_h,sensitivity,block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,lapse_rate_6.5_K_per_km_all_stations,3,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1199810630168017,1.1962578202949674,0.0,3
24,lapse_rate_6.5_K_per_km_all_stations,5,avamet,graphcast_hres_init,102976,146,363,1.4738029807481028,1.4283146179451485,1.5239205846357513,1.0,1
24,lapse_rate_6.5_K_per_km_all_stations,5,avamet,pangu_hres_init,102976,146,363,1.5652733277191042,1.5143313857316012,1.6213586150433827,0.0,2
24,lapse_rate_6.5_K_per_km_all_stations,5,avamet,ifs_hres,102976,146,363,1.5757066432525282,1.5266869696879992,1.6291046669424334,0.0,3
24,lapse_rate_6.5_K_per_km_all_stations,5,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8321799171219927,0.8927100550709904,1.0,1
24,lapse_rate_6.5_K_per_km_all_stations,5,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9047925043923123,0.9665039517569949,0.0,2
24,lapse_rate_6.5_K_per_km_all_stations,5,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1188184756418111,1.1977565238812367,0.0,3
24,lapse_rate_6.5_K_per_km_all_stations,7,avamet,graphcast_hres_init,102976,146,363,1.4738029807481028,1.4224812616847453,1.5255166619520726,1.0,1
24,lapse_rate_6.5_K_per_km_all_stations,7,avamet,pangu_hres_init,102976,146,363,1.5652733277191042,1.5080963491183543,1.6241612665428786,0.0,2
24,lapse_rate_6.5_K_per_km_all_stations,7,avamet,ifs_hres,102976,146,363,1.5757066432525282,1.5217567113185386,1.632040208012312,0.0,3
24,lapse_rate_6.5_K_per_km_all_stations,7,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8298178477041124,0.8933316043092236,1.0,1
24,lapse_rate_6.5_K_per_km_all_stations,7,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9030823390888986,0.9665884114794827,0.0,2
24,lapse_rate_6.5_K_per_km_all_stations,7,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1146483484560186,1.2021615052483963,0.0,3
24,lapse_rate_8_K_per_km_all_stations,1,avamet,graphcast_hres_init,102976,146,363,1.499447590106975,1.465378153234363,1.5326661532129566,1.0,1
24,lapse_rate_8_K_per_km_all_stations,1,avamet,pangu_hres_init,102976,146,363,1.5911665602774523,1.5532826520270349,1.6301584309247548,0.0,2
24,lapse_rate_8_K_per_km_all_stations,1,avamet,ifs_hres,102976,146,363,1.6006624551987758,1.5666414157888804,1.6338645018935933,0.0,3
