lead_h,sensitivity,block_days,n_common_cases,n_stations,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability
48,lapse_rate_5_K_per_km_all_stations,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19024766857458209,-0.21636437050809992,-0.1623105805529584,1.0
48,lapse_rate_6.5_K_per_km_all_stations,1,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19420289901152427,-0.22068976186684905,-0.1696963008005777,1.0
48,lapse_rate_6.5_K_per_km_all_stations,3,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19436372231221516,-0.22243695337292702,-0.16592353296430948,1.0
48,lapse_rate_6.5_K_per_km_all_stations,5,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19474102699664994,-0.2227044158456951,-0.1675382626705674,1.0
48,lapse_rate_6.5_K_per_km_all_stations,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.195042985483986,-0.22385405511318474,-0.1670334830678468,1.0
48,lapse_rate_8_K_per_km_all_stations,1,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.1972839358641115,-0.22209757518061066,-0.17316983816524165,1.0
48,lapse_rate_8_K_per_km_all_stations,3,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19757755472056948,-0.22687632608518535,-0.1688663686746015,1.0
48,lapse_rate_8_K_per_km_all_stations,5,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19757469598283808,-0.2274230822740415,-0.167962330573046,1.0
48,lapse_rate_8_K_per_km_all_stations,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19772278605163868,-0.22874599274000182,-0.1684812779773335,1.0
48,raw_abs_delta_z_lt_100m,1,53408,76,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19564230347951805,-0.21786939355538054,-0.17386521956582598,1.0
48,raw_abs_delta_z_lt_100m,3,53408,76,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19522450558865048,-0.2184583558232783,-0.17027848189688308,1.0
48,raw_abs_delta_z_lt_100m,5,53408,76,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19539414803076938,-0.22064515720147176,-0.17130865170964468,1.0
48,raw_abs_delta_z_lt_100m,7,53408,76,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19525127773607662,-0.21991291345344494,-0.1700097535718622,1.0
48,raw_abs_delta_z_lt_200m,1,88480,126,362,graphcast_hres_init,pangu_hres_init,1.0,-0.14529140284216363,-0.16667441161454982,-0.12487507415848147,1.0
48,raw_abs_delta_z_lt_200m,3,88480,126,362,graphcast_hres_init,pangu_hres_init,1.0,-0.14554129924591871,-0.16892958532591287,-0.12184381159018294,1.0
48,raw_abs_delta_z_lt_200m,5,88480,126,362,graphcast_hres_init,pangu_hres_init,1.0,-0.1451839185730629,-0.1686261210742688,-0.12079795425337583,1.0
48,raw_abs_delta_z_lt_200m,7,88480,126,362,graphcast_hres_init,pangu_hres_init,1.0,-0.14511960396419302,-0.17112244382971323,-0.12102106073416685,1.0
48,raw_abs_delta_z_lt_50m,1,26685,38,362,graphcast_hres_init,pangu_hres_init,1.0,-0.18490378633164783,-0.2068519871515019,-0.16465493611012672,1.0
48,raw_abs_delta_z_lt_50m,3,26685,38,362,graphcast_hres_init,pangu_hres_init,1.0,-0.18492509673330706,-0.2079677869677296,-0.16292731228616325,1.0
48,raw_abs_delta_z_lt_50m,5,26685,38,362,graphcast_hres_init,pangu_hres_init,1.0,-0.18449504182625123,-0.20780987511439677,-0.1606517931729263,1.0
48,raw_abs_delta_z_lt_50m,7,26685,38,362,graphcast_hres_init,pangu_hres_init,1.0,-0.18481000997116126,-0.20792380170862196,-0.16182459083513798,1.0
48,raw_all_stations,1,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.16861835670362135,-0.19084069941732243,-0.14647806594522236,1.0
48,raw_all_stations,3,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.16863441354150022,-0.1941973189950643,-0.14350447569119468,1.0
48,raw_all_stations,5,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.16800353441544275,-0.19622192849902542,-0.14138802635804085,1.0
48,raw_all_stations,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.1682672439575877,-0.1942757289487655,-0.14282870216353818,1.0
72,lapse_rate_5_K_per_km_all_stations,1,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.18790404412378667,-0.21187818144648926,-0.16446485836862149,1.0
72,lapse_rate_5_K_per_km_all_stations,3,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.18738656084894845,-0.21472290238184535,-0.16212228291345102,1.0
72,lapse_rate_5_K_per_km_all_stations,5,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.1880212858858953,-0.21530939600312704,-0.15972174318667795,1.0
72,lapse_rate_5_K_per_km_all_stations,7,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.18774384043626427,-0.2142384642402988,-0.160656223585491,1.0
72,lapse_rate_6.5_K_per_km_all_stations,1,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19401666702531634,-0.21854723866050113,-0.16892412603395318,1.0
72,lapse_rate_6.5_K_per_km_all_stations,3,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.1935528944596324,-0.22217417360414185,-0.16661624092802407,1.0
72,lapse_rate_6.5_K_per_km_all_stations,5,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19397948508374782,-0.22183231912207402,-0.16600317821217,1.0
72,lapse_rate_6.5_K_per_km_all_stations,7,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19398829889166125,-0.2229068908897765,-0.16499997504309982,1.0
72,lapse_rate_8_K_per_km_all_stations,1,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19931538478372562,-0.22383731014670033,-0.17454529451116044,1.0
72,lapse_rate_8_K_per_km_all_stations,3,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19919438992326946,-0.22828933809025145,-0.16953182870546474,1.0
72,lapse_rate_8_K_per_km_all_stations,5,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.1994686891406017,-0.22997071785650924,-0.16903979836826513,1.0
72,lapse_rate_8_K_per_km_all_stations,7,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.20052549394744296,-0.23271941751876057,-0.17094480133617276,1.0
72,raw_abs_delta_z_lt_100m,1,53263,76,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19967638331836018,-0.22119042365200794,-0.17855324092144975,1.0
72,raw_abs_delta_z_lt_100m,3,53263,76,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19979381014833428,-0.22481250887455784,-0.17618152579955476,1.0
72,raw_abs_delta_z_lt_100m,5,53263,76,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19990630263609546,-0.22473636102550312,-0.17428604984053933,1.0
72,raw_abs_delta_z_lt_100m,7,53263,76,361,graphcast_hres_init,pangu_hres_init,1.0,-0.19939800594835907,-0.2258148915868644,-0.1735313363850199,1.0
72,raw_abs_delta_z_lt_200m,1,88238,126,361,graphcast_hres_init,pangu_hres_init,1.0,-0.13831071847723353,-0.16099151936155726,-0.11663345980303405,1.0
72,raw_abs_delta_z_lt_200m,3,88238,126,361,graphcast_hres_init,pangu_hres_init,1.0,-0.13894627311248475,-0.16173853895392412,-0.11591268070574103,1.0
72,raw_abs_delta_z_lt_200m,5,88238,126,361,graphcast_hres_init,pangu_hres_init,0.999,-0.13857046176682672,-0.16314284162226272,-0.11410315509529655,0.999
72,raw_abs_delta_z_lt_200m,7,88238,126,361,graphcast_hres_init,pangu_hres_init,1.0,-0.1390452897166009,-0.1614287467101645,-0.1162373448269045,1.0
72,raw_abs_delta_z_lt_50m,1,26614,38,361,graphcast_hres_init,pangu_hres_init,1.0,-0.20123319242034926,-0.22206188988848466,-0.18070472151564618,1.0
72,raw_abs_delta_z_lt_50m,3,26614,38,361,graphcast_hres_init,pangu_hres_init,1.0,-0.2012371141262992,-0.22518540923363267,-0.177756116934081,1.0
72,raw_abs_delta_z_lt_50m,5,26614,38,361,graphcast_hres_init,pangu_hres_init,1.0,-0.20116341057685663,-0.22510386278923838,-0.178036208499149,1.0
72,raw_abs_delta_z_lt_50m,7,26614,38,361,graphcast_hres_init,pangu_hres_init,1.0,-0.20133996183659456,-0.22416280431073574,-0.1772767254203086,1.0
72,raw_all_stations,1,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.1623332384288085,-0.1849666017316123,-0.13956885583437173,1.0
72,raw_all_stations,3,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.16227282885650948,-0.1878569713200778,-0.1352809668874072,1.0
72,raw_all_stations,5,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.16236882607830924,-0.18822327796112173,-0.1375678311947877,1.0
72,raw_all_stations,7,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,-0.1629314906740803,-0.18912741403436906,-0.13794140765402538,1.0
