lead_h,metric,bootstrap,temporal_block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,score,score_ci_low,score_ci_high,bootstrap_winner_frequency,rank,ranking_applicable
24,mae,temporal_circular_blocks,5,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6485410821096587,1.7416951572866914,0.0,2.0,True
24,mae,temporal_circular_blocks,5,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.658158229365584,1.7592114566870345,0.0,3.0,True
24,mae,temporal_circular_blocks,5,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8299637246683603,0.8918433722415342,1.0,1.0,True
24,mae,temporal_circular_blocks,5,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9041655080756613,0.9644393105179117,0.0,2.0,True
24,mae,temporal_circular_blocks,5,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1161848137741277,1.1992378030798814,0.0,3.0,True
24,mae,temporal_circular_blocks,7,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5813659000768654,1.6657556230097346,1.0,1.0,True
24,mae,temporal_circular_blocks,7,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6459761951402483,1.7440478948448634,0.0,2.0,True
24,mae,temporal_circular_blocks,7,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.6572728879781204,1.7631569716052689,0.0,3.0,True
24,mae,temporal_circular_blocks,7,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8308552786445742,0.8930016249577231,1.0,1.0,True
24,mae,temporal_circular_blocks,7,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9013213780524759,0.9644080766644785,0.0,2.0,True
24,mae,temporal_circular_blocks,7,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1145018817519154,1.203265954058283,0.0,3.0,True
24,medae,temporal_circular_blocks,1,avamet,graphcast_hres_init,102976,146,363,1.312995581163393,1.2878514752596515,1.3367244613414608,1.0,1.0,True
24,medae,temporal_circular_blocks,1,avamet,pangu_hres_init,102976,146,363,1.3687511148354372,1.340306105168665,1.3982643774062544,0.0,2.0,True
24,medae,temporal_circular_blocks,1,avamet,ifs_hres,102976,146,363,1.3973613941255056,1.3672745793824752,1.428176161361139,0.0,3.0,True
24,medae,temporal_circular_blocks,1,era5_station,pangu_hres_init,102976,146,363,0.7479457885392138,0.7242812571556649,0.7725956164193433,1.0,1.0,True
24,medae,temporal_circular_blocks,1,era5_station,graphcast_hres_init,102976,146,363,0.8140066910141793,0.7908458003483615,0.8389392501503461,0.0,2.0,True
24,medae,temporal_circular_blocks,1,era5_station,ifs_hres,102976,146,363,0.9901764657237362,0.9590274587454705,1.0217360187783557,0.0,3.0,True
24,medae,temporal_circular_blocks,3,avamet,graphcast_hres_init,102976,146,363,1.312995581163393,1.2837168789121982,1.3427894950501427,1.0,1.0,True
24,medae,temporal_circular_blocks,3,avamet,pangu_hres_init,102976,146,363,1.3687511148354372,1.333916758584523,1.4047259282065458,0.0,2.0,True
24,medae,temporal_circular_blocks,3,avamet,ifs_hres,102976,146,363,1.3973613941255056,1.3563673010863542,1.4417117191759956,0.0,3.0,True
24,medae,temporal_circular_blocks,3,era5_station,pangu_hres_init,102976,146,363,0.7479457885392138,0.7218906533937759,0.7739130940152903,1.0,1.0,True
24,medae,temporal_circular_blocks,3,era5_station,graphcast_hres_init,102976,146,363,0.8140066910141793,0.7872596761945748,0.844241130338788,0.0,2.0,True
24,medae,temporal_circular_blocks,3,era5_station,ifs_hres,102976,146,363,0.9901764657237362,0.9541078914853498,1.0297796517394227,0.0,3.0,True
24,medae,temporal_circular_blocks,5,avamet,graphcast_hres_init,102976,146,363,1.312995581163393,1.2828382589392129,1.3451038211092514,1.0,1.0,True
24,medae,temporal_circular_blocks,5,avamet,pangu_hres_init,102976,146,363,1.3687511148354372,1.3326847868494038,1.4069346030376393,0.0,2.0,True
24,medae,temporal_circular_blocks,5,avamet,ifs_hres,102976,146,363,1.3973613941255056,1.3527003678037683,1.4506895619873428,0.0,3.0,True
24,medae,temporal_circular_blocks,5,era5_station,pangu_hres_init,102976,146,363,0.7479457885392138,0.7175168157691646,0.7772691968305633,1.0,1.0,True
24,medae,temporal_circular_blocks,5,era5_station,graphcast_hres_init,102976,146,363,0.8140066910141793,0.7834741899723001,0.8434986318506691,0.0,2.0,True
24,medae,temporal_circular_blocks,5,era5_station,ifs_hres,102976,146,363,0.9901764657237362,0.9498387019523874,1.033767752978402,0.0,3.0,True
24,medae,temporal_circular_blocks,7,avamet,graphcast_hres_init,102976,146,363,1.312995581163393,1.278376028976453,1.3486432362598926,1.0,1.0,True
24,medae,temporal_circular_blocks,7,avamet,pangu_hres_init,102976,146,363,1.3687511148354372,1.3307412973247312,1.4118613334785126,0.0,2.0,True
24,medae,temporal_circular_blocks,7,avamet,ifs_hres,102976,146,363,1.3973613941255056,1.3455714809907775,1.4524323577101106,0.0,3.0,True
24,medae,temporal_circular_blocks,7,era5_station,pangu_hres_init,102976,146,363,0.7479457885392138,0.7168905115765777,0.7809097606738528,1.0,1.0,True
24,medae,temporal_circular_blocks,7,era5_station,graphcast_hres_init,102976,146,363,0.8140066910141793,0.7824471481971218,0.8447767573278752,0.0,2.0,True
24,medae,temporal_circular_blocks,7,era5_station,ifs_hres,102976,146,363,0.9901764657237362,0.9431662057570609,1.0369398128079284,0.0,3.0,True
24,rmse,temporal_circular_blocks,1,avamet,graphcast_hres_init,102976,146,363,2.1697287864986308,2.128841079489709,2.210263881008495,1.0,1.0,True
24,rmse,temporal_circular_blocks,1,avamet,ifs_hres,102976,146,363,2.252304401915769,2.208792213247903,2.295251802128118,0.0,2.0,True
24,rmse,temporal_circular_blocks,1,avamet,pangu_hres_init,102976,146,363,2.256618924694091,2.2119993357318166,2.29840509941729,0.0,3.0,True
24,rmse,temporal_circular_blocks,1,era5_station,pangu_hres_init,102976,146,363,1.0641333655142644,1.0368756759107642,1.0932960263778866,1.0,1.0,True
24,rmse,temporal_circular_blocks,1,era5_station,graphcast_hres_init,102976,146,363,1.1521888892020982,1.125275875289681,1.1799114324229802,0.0,2.0,True
24,rmse,temporal_circular_blocks,1,era5_station,ifs_hres,102976,146,363,1.4478638473613132,1.4121064772827496,1.480411608994438,0.0,3.0,True
24,rmse,temporal_circular_blocks,3,avamet,graphcast_hres_init,102976,146,363,2.1697287864986308,2.118408140208696,2.223686299520242,1.0,1.0,True
