metric,scale_km,slope_c_per_k,spearman,families,median,ci_low,ci_high,ci_excludes_zero_positive
mae,300,1.375037334678693,0.39999999999999997,4,1.3718409612569507,1.2080762335245567,1.5503963961021798,True
mae,600,-0.6487120372192045,0.0,4,-0.7080925906646169,-4.486814605410211,4.425729370022678,False
mae,1200,-0.9127664164334119,-0.7999999999999999,4,-0.9073286712596287,-1.0954144129448005,-0.7736644415711068,False
rmse,300,2.7166959906856785,0.39999999999999997,4,2.714348008156852,2.4003018628352355,3.0540350346034635,True
rmse,600,-0.7138013046405531,0.0,4,-0.8421778268825104,-8.41701079379442,9.139217782506872,False
rmse,1200,-1.7850420348060365,-0.7999999999999999,4,-1.7730746529418577,-2.160016136338839,-1.5113577348267997,False
