metric,spearman_between_reference_rankings,pairwise_rank_reversals,possible_pairs,era5_order_best_to_worst,station_order_best_to_worst
mae,1.0,0,6,graphcast_era5_1p5deg|fuxi_1p5deg|pangu_era5_1p5deg|era5_forecast_1p5deg,graphcast_era5_1p5deg|fuxi_1p5deg|pangu_era5_1p5deg|era5_forecast_1p5deg
rmse,1.0,0,6,graphcast_era5_1p5deg|fuxi_1p5deg|pangu_era5_1p5deg|era5_forecast_1p5deg,graphcast_era5_1p5deg|fuxi_1p5deg|pangu_era5_1p5deg|era5_forecast_1p5deg
