model,model_family,cohort,era5_mae_c,observed_mae_c,mae_advantage_c,era5_rmse_c,observed_rmse_c,rmse_advantage_c,roughness_300km_k,roughness_600km_k,roughness_1200km_k
era5_forecast_1p5deg,ifs,era5_initialised_deterministic_1p5deg,0.7888349649197564,1.9322393696237916,-1.1434044047040353,1.0952366920220837,2.6378890380342113,-1.5426523460121275,1.3949509361355894,2.1401849268553543,3.057455547819994
graphcast_era5_1p5deg,graphcast,era5_initialised_deterministic_1p5deg,0.42892950534066565,1.6519706072190439,-1.2230411018783782,0.6019034580565578,2.293363214885825,-1.6914597568292673,1.3501749579434594,2.1379290787795293,3.1274566002388484
pangu_era5_1p5deg,pangu,era5_initialised_deterministic_1p5deg,0.47960087508366017,1.6707244454045884,-1.1911235703209282,0.6724363226734026,2.316531039868166,-1.6440947171947635,1.3461987457363316,2.1353757500527433,3.1271870116512757
fuxi_1p5deg,fuxi,era5_initialised_deterministic_1p5deg,0.44637218478369844,1.6590496676619002,-1.2126774828782017,0.6235153775587312,2.300873646630474,-1.6773582690717426,1.3560642123420883,2.1448114919988583,3.1334128870083164
gencast_mean_1p5deg,gencast,era5_initialised_ensemble_mean_1p5deg,0.4171438073048705,1.6440978051806348,-1.2269539978757642,0.5932640842035234,2.283802746162745,-1.6905386619592218,1.3618410240988528,2.149936182489189,3.1380463035531165
