reference,model,n_common_cases,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,mae_rank,source_panel
avamet,graphcast_hres_init,28392,363,1.681177240439399,1.6554792555492053,1.707211323242044,1,b
avamet,ifs_hres,28392,363,1.7471139015129062,1.718812215507959,1.7774506026052654,2,b
avamet,pangu_hres_init,28392,363,1.7912340620135367,1.7630984499826088,1.823428655080222,3,b
era5_station,pangu_hres_init,28392,363,0.8984923601717979,0.873185956300323,0.9234927019746152,1,b
era5_station,graphcast_hres_init,28392,363,0.9523400271836168,0.931010663922543,0.976074080925939,2,b
era5_station,ifs_hres,28392,363,1.1762900645781404,1.1477205844669836,1.205419577025551,3,b
