comparison,estimate_c,ci_low_c,ci_high_c,color,source_panel
Stations,-0.1100568215741377,-0.1263094053415997,-0.0943783501804412,#0072B2,c
ERA5,0.0538476670118187,0.0284221608765978,0.0797607849980528,#D55E00,c
Reference effect,-0.1639044885859564,-0.18866885614824683,-0.14097061931208638,#222222,c
