unit,extraction,stratum,block_days,reference,model,n_common_cases,n_units,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank,lead_h
cell_aggregate,nearest,multi_station_cells,5,era5,ifs_hres,19233,27,363,1.240291953086853,1.2017645180225371,1.2799795508384704,0.0,3,24
cell_aggregate,nearest,multi_station_cells,7,avamet,graphcast_hres_init,19233,27,363,1.215221824941873,1.1751638823828394,1.255743080928128,1.0,1,24
cell_aggregate,nearest,multi_station_cells,7,avamet,pangu_hres_init,19233,27,363,1.310155771995022,1.2659406365919228,1.3562226156880184,0.0,2,24
cell_aggregate,nearest,multi_station_cells,7,avamet,ifs_hres,19233,27,363,1.381643698144571,1.331350206176886,1.4305352563023603,0.0,3,24
cell_aggregate,nearest,multi_station_cells,7,era5,pangu_hres_init,19233,27,363,0.9529834389686584,0.9190387919545173,0.988204476237297,0.953,1,24
cell_aggregate,nearest,multi_station_cells,7,era5,graphcast_hres_init,19233,27,363,0.9794284701347351,0.9553918451070785,1.005884900689125,0.047,2,24
cell_aggregate,nearest,multi_station_cells,7,era5,ifs_hres,19233,27,363,1.240291953086853,1.199765858054161,1.2837871938943863,0.0,3,24
cell_aggregate,nearest,sparse_2_3,1,avamet,graphcast_hres_init,10533,15,363,1.2710185579532176,1.239614697986322,1.3020409341098966,1.0,1,24
cell_aggregate,nearest,sparse_2_3,1,avamet,pangu_hres_init,10533,15,363,1.3698257820277904,1.3359484825796364,1.4048998867773126,0.0,2,24
cell_aggregate,nearest,sparse_2_3,1,avamet,ifs_hres,10533,15,363,1.4200873357963366,1.38795711932071,1.454401911632239,0.0,3,24
cell_aggregate,nearest,sparse_2_3,1,era5,pangu_hres_init,10533,15,363,0.9608783721923828,0.9313447758555412,0.992655785381794,0.992,1,24
cell_aggregate,nearest,sparse_2_3,1,era5,graphcast_hres_init,10533,15,363,0.9965296387672424,0.9737111628055573,1.0209799230098724,0.008,2,24
cell_aggregate,nearest,sparse_2_3,1,era5,ifs_hres,10533,15,363,1.2433842420578003,1.21290984749794,1.2763662725687026,0.0,3,24
cell_aggregate,nearest,sparse_2_3,3,avamet,graphcast_hres_init,10533,15,363,1.2710185579532176,1.231939884927953,1.3095201288640528,1.0,1,24
cell_aggregate,nearest,sparse_2_3,3,avamet,pangu_hres_init,10533,15,363,1.3698257820277904,1.3274024883213822,1.4097964947385289,0.0,2,24
cell_aggregate,nearest,sparse_2_3,3,avamet,ifs_hres,10533,15,363,1.4200873357963366,1.380487331369836,1.4602120016810831,0.0,3,24
cell_aggregate,nearest,sparse_2_3,3,era5,pangu_hres_init,10533,15,363,0.9608783721923828,0.9264384776353836,0.9913721814751625,0.984,1,24
cell_aggregate,nearest,sparse_2_3,3,era5,graphcast_hres_init,10533,15,363,0.9965296387672424,0.9673984631896019,1.0227180331945418,0.016,2,24
cell_aggregate,nearest,sparse_2_3,3,era5,ifs_hres,10533,15,363,1.2433842420578003,1.2035489082336426,1.282645258307457,0.0,3,24
cell_aggregate,nearest,sparse_2_3,5,avamet,graphcast_hres_init,10533,15,363,1.2710185579532176,1.2253715241427925,1.3174719267270143,1.0,1,24
cell_aggregate,nearest,sparse_2_3,5,avamet,pangu_hres_init,10533,15,363,1.3698257820277904,1.3246061686081898,1.4167165826347128,0.0,2,24
cell_aggregate,nearest,sparse_2_3,5,avamet,ifs_hres,10533,15,363,1.4200873357963366,1.3720376704798882,1.4693553814610387,0.0,3,24
cell_aggregate,nearest,sparse_2_3,5,era5,pangu_hres_init,10533,15,363,0.9608783721923828,0.9248466610908509,0.9992077738046646,0.976,1,24
cell_aggregate,nearest,sparse_2_3,5,era5,graphcast_hres_init,10533,15,363,0.9965296387672424,0.9692598909139634,1.0252785384654999,0.024,2,24
cell_aggregate,nearest,sparse_2_3,5,era5,ifs_hres,10533,15,363,1.2433842420578003,1.1992469698190689,1.2928103387355805,0.0,3,24
cell_aggregate,nearest,sparse_2_3,7,avamet,graphcast_hres_init,10533,15,363,1.2710185579532176,1.2214633086476798,1.3230711393465218,1.0,1,24
cell_aggregate,nearest,sparse_2_3,7,avamet,pangu_hres_init,10533,15,363,1.3698257820277904,1.3190662352019766,1.4195459821875132,0.0,2,24
cell_aggregate,nearest,sparse_2_3,7,avamet,ifs_hres,10533,15,363,1.4200873357963366,1.372694415059947,1.4714326987206712,0.0,3,24
cell_aggregate,nearest,sparse_2_3,7,era5,pangu_hres_init,10533,15,363,0.9608783721923828,0.923507259786129,1.0013521045446396,0.9715,1,24
cell_aggregate,nearest,sparse_2_3,7,era5,graphcast_hres_init,10533,15,363,0.9965296387672424,0.967479208111763,1.0262712240219116,0.0285,2,24
cell_aggregate,nearest,sparse_2_3,7,era5,ifs_hres,10533,15,363,1.2433842420578003,1.1956170141696931,1.2921078294515609,0.0,3,24
station,bilinear,all_eligible,1,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5950779461147069,1.6495900075064815,1.0,1,24
station,bilinear,all_eligible,1,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6625435074905073,1.726226485085249,0.0,2,24
station,bilinear,all_eligible,1,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.675510005503158,1.7408683347070322,0.0,3,24
station,bilinear,all_eligible,1,era5,pangu_hres_init,102976,146,363,0.8615041657776651,0.8367836414895634,0.8856111527036159,1.0,1,24
station,bilinear,all_eligible,1,era5,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9108258386332001,0.9573558259716833,0.0,2,24
station,bilinear,all_eligible,1,era5,ifs_hres,102976,146,363,1.1581661876510214,1.1284615275029164,1.1883173982072008,0.0,3,24
station,bilinear,all_eligible,3,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.587298701223141,1.6605076652402315,1.0,1,24
station,bilinear,all_eligible,3,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6529156779783551,1.7383530456274496,0.0,2,24
station,bilinear,all_eligible,3,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.6645550503635473,1.753039402498777,0.0,3,24
station,bilinear,all_eligible,3,era5,pangu_hres_init,102976,146,363,0.8615041657776651,0.8348522838729873,0.8880001558542562,1.0,1,24
station,bilinear,all_eligible,3,era5,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9061318258599138,0.961758996390913,0.0,2,24
station,bilinear,all_eligible,3,era5,ifs_hres,102976,146,363,1.1581661876510214,1.1221441598133,1.1964064473238756,0.0,3,24
station,bilinear,all_eligible,5,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.583737180121017,1.6632223733910263,1.0,1,24
station,bilinear,all_eligible,5,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6488599764501468,1.7410701225401823,0.0,2,24
station,bilinear,all_eligible,5,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.6582691756148362,1.7581500631287132,0.0,3,24
station,bilinear,all_eligible,5,era5,pangu_hres_init,102976,146,363,0.8615041657776651,0.8327251810374613,0.8919037684918575,1.0,1,24
station,bilinear,all_eligible,5,era5,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9040538935973378,0.9648068241106036,0.0,2,24
station,bilinear,all_eligible,5,era5,ifs_hres,102976,146,363,1.1581661876510214,1.1157360260153764,1.2012307692607096,0.0,3,24
station,bilinear,all_eligible,7,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5815342535896288,1.6673375181967787,1.0,1,24
station,bilinear,all_eligible,7,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6477968589626484,1.742872721438455,0.0,2,24
station,bilinear,all_eligible,7,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.654667468788734,1.7631111608073704,0.0,3,24
station,bilinear,all_eligible,7,era5,pangu_hres_init,102976,146,363,0.8615041657776651,0.8312420397870822,0.8934957933362907,1.0,1,24
station,bilinear,all_eligible,7,era5,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9030264336674625,0.9665541017431242,0.0,2,24
station,bilinear,all_eligible,7,era5,ifs_hres,102976,146,363,1.1581661876510214,1.1148428082211275,1.2043207387886756,0.0,3,24
station,bilinear,dense_4_plus,1,avamet,graphcast_hres_init,66825,95,363,1.665410205810488,1.636529579817973,1.6935668405050295,1.0,1,24
station,bilinear,dense_4_plus,1,avamet,pangu_hres_init,66825,95,363,1.7133697519318958,1.6761439916785563,1.748555191291175,0.0,2,24
station,bilinear,dense_4_plus,1,avamet,ifs_hres,66825,95,363,1.7660650632471147,1.7298585121934902,1.803321803648726,0.0,3,24
station,bilinear,dense_4_plus,1,era5,pangu_hres_init,66825,95,363,0.8374082576791514,0.809794455263865,0.8642080358759221,1.0,1,24
