unit,extraction,stratum,block_days,n_common_cases,n_units,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability,lead_h
station,nearest,all_eligible,1,102976,146,363,graphcast_hres_init,pangu_hres_init,0.9815,graphcast_hres_init__minus__pangu_hres_init,-0.09754758227929546,-0.116833398904702,-0.07968177097526769,0.9815,24
station,nearest,all_eligible,3,102976,146,363,graphcast_hres_init,pangu_hres_init,0.9665,graphcast_hres_init__minus__pangu_hres_init,-0.09808364888603167,-0.12039794945284749,-0.07598547144870453,0.9665,24
station,nearest,all_eligible,5,102976,146,363,graphcast_hres_init,pangu_hres_init,0.948,graphcast_hres_init__minus__pangu_hres_init,-0.09805437195675173,-0.12173694321224929,-0.07530551956545137,0.948,24
station,nearest,all_eligible,7,102976,146,363,graphcast_hres_init,pangu_hres_init,0.9405,graphcast_hres_init__minus__pangu_hres_init,-0.09775113249378503,-0.12232889144337775,-0.07242501801135329,0.9405,24
station,nearest,dense_4_plus,1,66825,95,363,graphcast_hres_init,pangu_hres_init,0.9875,graphcast_hres_init__minus__pangu_hres_init,-0.09589549033517256,-0.11723897180733218,-0.07598809928820122,0.9875,24
station,nearest,dense_4_plus,3,66825,95,363,graphcast_hres_init,pangu_hres_init,0.967,graphcast_hres_init__minus__pangu_hres_init,-0.09677601348344778,-0.12119722431242468,-0.07268008527950288,0.967,24
station,nearest,dense_4_plus,5,66825,95,363,graphcast_hres_init,pangu_hres_init,0.9515,graphcast_hres_init__minus__pangu_hres_init,-0.0961010899575236,-0.12253482378928407,-0.07126742725970053,0.9515,24
station,nearest,dense_4_plus,7,66825,95,363,graphcast_hres_init,pangu_hres_init,0.9525,graphcast_hres_init__minus__pangu_hres_init,-0.09618710344775183,-0.12421202724045334,-0.06903854545055595,0.9525,24
station,nearest,single_station,1,11336,16,363,graphcast_hres_init,graphcast_hres_init,0.018,graphcast_hres_init__minus__pangu_hres_init,-0.0578057685856206,-0.08680059731161223,-0.030107949477899142,0.018,24
station,nearest,single_station,3,11336,16,363,graphcast_hres_init,graphcast_hres_init,0.034,graphcast_hres_init__minus__pangu_hres_init,-0.057223336627857106,-0.08664921538738563,-0.026126609948685178,0.034,24
station,nearest,single_station,5,11336,16,363,graphcast_hres_init,graphcast_hres_init,0.0455,graphcast_hres_init__minus__pangu_hres_init,-0.057158771477290274,-0.09150177164544826,-0.02048864426313418,0.0455,24
station,nearest,single_station,7,11336,16,363,graphcast_hres_init,graphcast_hres_init,0.0595,graphcast_hres_init__minus__pangu_hres_init,-0.058414870358042804,-0.0912727749776609,-0.023664703124450442,0.0595,24
station,nearest,sparse_2_3,1,24815,35,363,graphcast_hres_init,pangu_hres_init,0.9945,graphcast_hres_init__minus__pangu_hres_init,-0.1203429580102012,-0.1483616145300965,-0.09205333882837488,0.9945,24
station,nearest,sparse_2_3,3,24815,35,363,graphcast_hres_init,pangu_hres_init,0.99,graphcast_hres_init__minus__pangu_hres_init,-0.12051945693790594,-0.15082783862397192,-0.09080140764134711,0.99,24
station,nearest,sparse_2_3,5,24815,35,363,graphcast_hres_init,pangu_hres_init,0.9885,graphcast_hres_init__minus__pangu_hres_init,-0.12051673406456823,-0.15079556588918433,-0.09011830428500266,0.9885,24
station,nearest,sparse_2_3,7,24815,35,363,graphcast_hres_init,pangu_hres_init,0.983,graphcast_hres_init__minus__pangu_hres_init,-0.1214157154207442,-0.15557977839552328,-0.08984112262918707,0.983,24
cell_aggregate,nearest,dense_4_plus,1,8676,12,362,graphcast_hres_init,graphcast_hres_init,0.0895,graphcast_hres_init__minus__pangu_hres_init,-0.13548625117777402,-0.16312748065880944,-0.1090743150208336,0.0895,48
cell_aggregate,nearest,dense_4_plus,3,8676,12,362,graphcast_hres_init,graphcast_hres_init,0.122,graphcast_hres_init__minus__pangu_hres_init,-0.13505363327315859,-0.1644982611884513,-0.10565781938829988,0.122,48
cell_aggregate,nearest,dense_4_plus,5,8676,12,362,graphcast_hres_init,graphcast_hres_init,0.1165,graphcast_hres_init__minus__pangu_hres_init,-0.13515928373869798,-0.16441668418311253,-0.105233015473392,0.1165,48
cell_aggregate,nearest,dense_4_plus,7,8676,12,362,graphcast_hres_init,graphcast_hres_init,0.116,graphcast_hres_init__minus__pangu_hres_init,-0.13548956602535275,-0.1655757638603557,-0.10642308125653127,0.116,48
cell_aggregate,nearest,multi_station_cells,1,19179,27,362,graphcast_hres_init,pangu_hres_init,0.9445,graphcast_hres_init__minus__pangu_hres_init,-0.13288607576144595,-0.15578729774036595,-0.11094819436140994,0.9445,48
cell_aggregate,nearest,multi_station_cells,3,19179,27,362,graphcast_hres_init,pangu_hres_init,0.9205,graphcast_hres_init__minus__pangu_hres_init,-0.1329373308601057,-0.1583245251120969,-0.10822622746189811,0.9205,48
cell_aggregate,nearest,multi_station_cells,5,19179,27,362,graphcast_hres_init,pangu_hres_init,0.935,graphcast_hres_init__minus__pangu_hres_init,-0.13348575759113016,-0.15945391782387236,-0.10766432239594834,0.935,48
cell_aggregate,nearest,multi_station_cells,7,19179,27,362,graphcast_hres_init,pangu_hres_init,0.925,graphcast_hres_init__minus__pangu_hres_init,-0.13286706477170968,-0.1594715307694775,-0.10641043068387962,0.925,48
cell_aggregate,nearest,sparse_2_3,1,10503,15,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.13168277250680238,-0.15995323142450818,-0.10169551688294809,1.0,48
cell_aggregate,nearest,sparse_2_3,3,10503,15,362,graphcast_hres_init,pangu_hres_init,0.9995,graphcast_hres_init__minus__pangu_hres_init,-0.1309675266849381,-0.16142014611225602,-0.10141889457597063,0.9995,48
cell_aggregate,nearest,sparse_2_3,5,10503,15,362,graphcast_hres_init,pangu_hres_init,0.9995,graphcast_hres_init__minus__pangu_hres_init,-0.13143500685352827,-0.1632335416880483,-0.10047262369367836,0.9995,48
cell_aggregate,nearest,sparse_2_3,7,10503,15,362,graphcast_hres_init,pangu_hres_init,0.9985,graphcast_hres_init__minus__pangu_hres_init,-0.13197341223624767,-0.16389782866739205,-0.10177962732725715,0.9985,48
station,bilinear,all_eligible,1,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16815566843637914,-0.1901139436244038,-0.14573442749054785,1.0,48
station,bilinear,all_eligible,3,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16870616258296384,-0.1958040772434566,-0.14371205536103393,1.0,48
station,bilinear,all_eligible,5,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16854780664162802,-0.19457704781411927,-0.14318235624424713,1.0,48
station,bilinear,all_eligible,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16818695430468433,-0.19419096942760647,-0.14252319217444817,1.0,48
