reference,model,n_common_cases,n_daily_blocks,mae_c_day_weighted,mae_c_case_weighted,mae_rank,mae_ci_low_c,mae_ci_high_c,winner_probability
avamet,graphcast_hres_init,28392,363,1.681177240439399,1.6811675838328322,1,1.6554792555492053,1.707211323242044,1.0
avamet,ifs_hres,28392,363,1.7471139015129062,1.7473270135829841,2,1.718812215507959,1.7774506026052654,0.0
avamet,pangu_hres_init,28392,363,1.7912340620135367,1.7912813999788986,3,1.7630984499826088,1.8234286550802221,0.0
era5_station,pangu_hres_init,28392,363,0.8984923601717979,0.8977133842550038,1,0.873185956300323,0.9234927019746151,1.0
era5_station,graphcast_hres_init,28392,363,0.9523400271836167,0.951815126976634,2,0.931010663922543,0.976074080925939,0.0
era5_station,ifs_hres,28392,363,1.1762900645781404,1.1758829549121457,3,1.1477205844669836,1.205419577025551,0.0
