reference,model_a,model_b,delta_mae_a_minus_b_c,delta_ci_low_c,delta_ci_high_c,p_a_beats_b
avamet,graphcast_hres_init,pangu_hres_init,-0.11005682157413776,-0.12630940534159973,-0.09437835018044129,1.0
avamet,ifs_hres,graphcast_hres_init,0.06593666107350726,0.04984502432839116,0.081657492499103,0.0
avamet,ifs_hres,pangu_hres_init,-0.0441201605006305,-0.06591452527695055,-0.0229517683829559,1.0
era5_station,graphcast_hres_init,pangu_hres_init,0.053847667011818756,0.028422160876597883,0.07976078499805285,0.0
era5_station,ifs_hres,graphcast_hres_init,0.2239500373945238,0.19830797663893387,0.2509703876094916,0.0
era5_station,ifs_hres,pangu_hres_init,0.27779770440634255,0.24568349185394395,0.31297827854926896,0.0
