draw,reference,model,mae_c_day_weighted
37,era5_station,pangu_hres_init,0.8999296998566539
38,era5_station,ifs_hres,1.1706007418637894
38,era5_station,graphcast_hres_init,0.960105834930782
38,era5_station,pangu_hres_init,0.9053550977654449
39,era5_station,ifs_hres,1.1883721143202564
39,era5_station,graphcast_hres_init,0.9678185006715512
39,era5_station,pangu_hres_init,0.8953660047681278
40,era5_station,ifs_hres,1.1822271550401304
40,era5_station,graphcast_hres_init,0.957766832444967
40,era5_station,pangu_hres_init,0.8801695096038945
41,era5_station,ifs_hres,1.1855471207609813
41,era5_station,graphcast_hres_init,0.9513577169675217
41,era5_station,pangu_hres_init,0.8893919808020151
42,era5_station,ifs_hres,1.1907549132255602
42,era5_station,graphcast_hres_init,0.9375565922725522
42,era5_station,pangu_hres_init,0.88832820745387
43,era5_station,ifs_hres,1.1455775691600436
43,era5_station,graphcast_hres_init,0.9503877183281851
43,era5_station,pangu_hres_init,0.9141663332474296
44,era5_station,ifs_hres,1.1643478276144037
44,era5_station,graphcast_hres_init,0.9523112167765124
44,era5_station,pangu_hres_init,0.9182779751270292
45,era5_station,ifs_hres,1.1903087616621937
45,era5_station,graphcast_hres_init,0.9777400850790094
45,era5_station,pangu_hres_init,0.8906112131243068
46,era5_station,ifs_hres,1.1661353467913074
46,era5_station,graphcast_hres_init,0.9521670674663326
46,era5_station,pangu_hres_init,0.9133225681772718
47,era5_station,ifs_hres,1.1674560913379501
47,era5_station,graphcast_hres_init,0.9793630824024413
47,era5_station,pangu_hres_init,0.8961767575301776
48,era5_station,ifs_hres,1.169378288384922
48,era5_station,graphcast_hres_init,0.9391709819445259
48,era5_station,pangu_hres_init,0.897229126255119
49,era5_station,ifs_hres,1.2239716289041258
49,era5_station,graphcast_hres_init,0.9502821936001619
49,era5_station,pangu_hres_init,0.89441147475246
50,era5_station,ifs_hres,1.1625383298931904
50,era5_station,graphcast_hres_init,0.9403266840296383
50,era5_station,pangu_hres_init,0.9062101059706101
51,era5_station,ifs_hres,1.179733523902451
51,era5_station,graphcast_hres_init,0.9587051887538586
51,era5_station,pangu_hres_init,0.8824662390054119
52,era5_station,ifs_hres,1.1876821564712101
52,era5_station,graphcast_hres_init,0.9684148378463071
52,era5_station,pangu_hres_init,0.8970136064863261
53,era5_station,ifs_hres,1.1549849651114783
53,era5_station,graphcast_hres_init,0.9528451686507622
53,era5_station,pangu_hres_init,0.9077840215791211
54,era5_station,ifs_hres,1.1732522165635406
54,era5_station,graphcast_hres_init,0.9382238749009696
54,era5_station,pangu_hres_init,0.8928676496211334
55,era5_station,ifs_hres,1.1687137276930295
55,era5_station,graphcast_hres_init,0.9487542360214547
55,era5_station,pangu_hres_init,0.8800511561079846
56,era5_station,ifs_hres,1.179110156572739
56,era5_station,graphcast_hres_init,0.9641282873997463
56,era5_station,pangu_hres_init,0.8767545538355821
57,era5_station,ifs_hres,1.1565115896570137
57,era5_station,graphcast_hres_init,0.9492498957382054
57,era5_station,pangu_hres_init,0.9123509820017321
58,era5_station,ifs_hres,1.1785508766151256
58,era5_station,graphcast_hres_init,0.9596264031921484
58,era5_station,pangu_hres_init,0.9108039165843628
59,era5_station,ifs_hres,1.177921263338847
59,era5_station,graphcast_hres_init,0.9464975176784519
59,era5_station,pangu_hres_init,0.9092034920755611
60,era5_station,ifs_hres,1.194424257029185
60,era5_station,graphcast_hres_init,0.948407427238117
60,era5_station,pangu_hres_init,0.9095634657815193
61,era5_station,ifs_hres,1.1629452083117817
61,era5_station,graphcast_hres_init,0.9650054558172773
61,era5_station,pangu_hres_init,0.9065574103924002
62,era5_station,ifs_hres,1.178215752986019
62,era5_station,graphcast_hres_init,0.9554552812517535
62,era5_station,pangu_hres_init,0.8970289062294406
63,era5_station,ifs_hres,1.183433295088843
63,era5_station,graphcast_hres_init,0.9520055579901947
63,era5_station,pangu_hres_init,0.9165916962680305
64,era5_station,ifs_hres,1.1743923371908955
64,era5_station,graphcast_hres_init,0.9537094483930986
64,era5_station,pangu_hres_init,0.9176240790866321
65,era5_station,ifs_hres,1.1683416036383325
65,era5_station,graphcast_hres_init,0.9516074170934511
65,era5_station,pangu_hres_init,0.9010260998997546
66,era5_station,ifs_hres,1.1866103329504436
66,era5_station,graphcast_hres_init,0.9600927558590076
66,era5_station,pangu_hres_init,0.8893742122393513
67,era5_station,ifs_hres,1.212534345495073
67,era5_station,graphcast_hres_init,0.9673183883112507
67,era5_station,pangu_hres_init,0.919219921012826
68,era5_station,ifs_hres,1.1774871672750307
68,era5_station,graphcast_hres_init,0.9429004513243439
