metric,scale_km,slope_c_per_k,spearman,families,median,ci_low,ci_high,ci_excludes_zero_positive
mae,25,-1.016994707093179,-0.7999999999999999,4,-1.0176122528530716,-1.0912929669580589,-0.9407542140853397,False
mae,50,-0.5669875122925108,-0.7999999999999999,4,-0.5673104922986224,-0.6109112793098272,-0.5207601601295494,False
mae,100,-0.4317863981961146,-0.7999999999999999,4,-0.4320991734332431,-0.4662638054301412,-0.39602297842592143,False
rmse,25,-1.0636948753677504,-0.7999999999999999,4,-1.0635981291404812,-1.2159144464857932,-0.8871595470991167,False
rmse,50,-0.5812584073019849,-0.7999999999999999,4,-0.5812879466127252,-0.6726353551294086,-0.47601633372241775,False
rmse,100,-0.4396762758638125,-0.7999999999999999,4,-0.4396119236366186,-0.5110339642724716,-0.35787289987744314,False
