model,model_family,cohort,era5_mae_c,observed_mae_c,mae_advantage_c,era5_rmse_c,observed_rmse_c,rmse_advantage_c,roughness_25km_k,roughness_50km_k,roughness_100km_k
era5_forecast_native,ifs,era5_initialised_deterministic_native,0.9065289265894231,1.7603837201855668,-0.8538547935961437,1.2465781474080926,2.4300793119845516,-1.183501164576459,0.2947868043344755,0.6883785995403675,1.165619772833236
graphcast_era5_native,graphcast,era5_initialised_deterministic_native,0.6087730273549504,1.4265786544914696,-0.8178056271365192,0.8407820916777151,2.004962706383104,-1.1641806147053888,0.2418917422960761,0.5902867132724521,1.039727525550185
pangu_era5_native,pangu,era5_initialised_deterministic_native,0.7043903230300936,1.4785129742331653,-0.7741226512030717,0.9735391200593215,2.065215111651001,-1.0916759915916796,0.23301445648311148,0.5641728397036678,1.0034262325771808
fuxi_native,fuxi,era5_initialised_deterministic_native,0.6484635255361753,1.4564956673780454,-0.8080321418418701,0.890131436785744,2.038190318687921,-1.148058881902177,0.26691641343092404,0.6021172365798662,1.0421597398006244
gencast_mean_native,gencast,era5_initialised_ensemble_mean_native,0.5857832350354162,1.4289750662802978,-0.8431918312448816,0.820832042081455,2.010041260059482,-1.1892092179780271,0.24960034670733747,0.60415153650851,1.0574613056919433
