metric,spearman_between_reference_rankings,pairwise_rank_reversals,possible_pairs,era5_order_best_to_worst,station_order_best_to_worst
mae,1.0,0,6,graphcast_era5_native|fuxi_native|pangu_era5_native|era5_forecast_native,graphcast_era5_native|fuxi_native|pangu_era5_native|era5_forecast_native
rmse,1.0,0,6,graphcast_era5_native|fuxi_native|pangu_era5_native|era5_forecast_native,graphcast_era5_native|fuxi_native|pangu_era5_native|era5_forecast_native
