network,model,reference,sigma_km,block_days,metric,change,ci_low,ci_high,p_smoothing_improves
inmet_hourly,era5_forecast,era5,12.5,1,centred_rmse,-0.0022159921830932705,-0.002399578097162386,-0.002028943884702178,1.0
inmet_hourly,era5_forecast,era5,25.0,1,centred_rmse,0.008898716026901253,0.0073752946922844564,0.010425392785282563,0.0
inmet_hourly,era5_forecast,era5,50.0,1,centred_rmse,0.11148705040255115,0.10589433757653247,0.11713830883172541,0.0
inmet_hourly,era5_forecast,era5,100.0,1,centred_rmse,0.31428419910870603,0.3020912816221081,0.32608665381761853,0.0
inmet_hourly,era5_forecast,era5,12.5,3,centred_rmse,-0.0022150912124783363,-0.00246462226538017,-0.001973288566931822,1.0
inmet_hourly,era5_forecast,era5,25.0,3,centred_rmse,0.008911672540580746,0.0069319786658595785,0.010908442241031808,0.0
inmet_hourly,era5_forecast,era5,50.0,3,centred_rmse,0.11157416742217362,0.10406360059880876,0.11874057589314281,0.0
inmet_hourly,era5_forecast,era5,100.0,3,centred_rmse,0.31451713240400875,0.2981260187727199,0.3305828921166249,0.0
inmet_hourly,era5_forecast,era5,12.5,5,centred_rmse,-0.002212105042502169,-0.002499508096340702,-0.0019463950836949631,1.0
inmet_hourly,era5_forecast,era5,25.0,5,centred_rmse,0.008922407194213755,0.006722674348234209,0.011155011839315653,0.0
inmet_hourly,era5_forecast,era5,50.0,5,centred_rmse,0.11156266182269318,0.10311747099710153,0.12010025987559034,0.0
inmet_hourly,era5_forecast,era5,100.0,5,centred_rmse,0.3144492350607352,0.29507308780063446,0.33258267259464475,0.0
inmet_hourly,era5_forecast,era5,12.5,7,centred_rmse,-0.0022163730003214492,-0.002495801105137421,-0.001956196869297872,1.0
inmet_hourly,era5_forecast,era5,25.0,7,centred_rmse,0.008915035811508267,0.006497817636101477,0.011270870877493074,0.0
inmet_hourly,era5_forecast,era5,50.0,7,centred_rmse,0.11164040769088965,0.10197171062511891,0.12089377625973123,0.0
inmet_hourly,era5_forecast,era5,100.0,7,centred_rmse,0.31471188013706985,0.29301205753469495,0.33514722592879087,0.0
inmet_hourly,era5_forecast,era5,12.5,1,mae,-0.0017376241864382825,-0.001891429038243475,-0.001570576716437802,1.0
inmet_hourly,era5_forecast,era5,25.0,1,mae,0.014357116253253402,0.013101916733266853,0.015542612613815229,0.0
inmet_hourly,era5_forecast,era5,50.0,1,mae,0.11151873245571738,0.10822283469291527,0.11479254688769547,0.0
inmet_hourly,era5_forecast,era5,100.0,1,mae,0.28415027264673676,0.27777805840754505,0.2903971388989655,0.0
inmet_hourly,era5_forecast,era5,12.5,3,mae,-0.001734911318998741,-0.0019269016957771889,-0.0015421594833388008,1.0
inmet_hourly,era5_forecast,era5,25.0,3,mae,0.014357012237723205,0.012901144702402135,0.015911807062873956,0.0
inmet_hourly,era5_forecast,era5,50.0,3,mae,0.11150976457204191,0.10728948122555952,0.11579199935865586,0.0
inmet_hourly,era5_forecast,era5,100.0,3,mae,0.2841708999119373,0.2755348726223579,0.2928510600510045,0.0
inmet_hourly,era5_forecast,era5,12.5,5,mae,-0.0017313660591805283,-0.0019399220405886264,-0.0015259867328934642,1.0
inmet_hourly,era5_forecast,era5,25.0,5,mae,0.01437064014928494,0.012731398315604797,0.016060830630144803,0.0
inmet_hourly,era5_forecast,era5,50.0,5,mae,0.11152679377014328,0.10693458100646047,0.11631140587834271,0.0
inmet_hourly,era5_forecast,era5,100.0,5,mae,0.28418884528273586,0.2748149490777532,0.29407133432682153,0.0
inmet_hourly,era5_forecast,era5,12.5,7,mae,-0.0017355583430581057,-0.0019449510724059232,-0.0015161624430272361,1.0
inmet_hourly,era5_forecast,era5,25.0,7,mae,0.014342177694700269,0.012658088838030273,0.01607878962647277,0.0
inmet_hourly,era5_forecast,era5,50.0,7,mae,0.1114997921898043,0.1066438926904362,0.1164516973766332,0.0
inmet_hourly,era5_forecast,era5,100.0,7,mae,0.28419211189873833,0.27395958788385727,0.29453527186286305,0.0
inmet_hourly,era5_forecast,era5,12.5,1,rmse,-0.002300370526282073,-0.0024834292972354954,-0.002117531025801331,1.0
inmet_hourly,era5_forecast,era5,25.0,1,rmse,0.008458227075913021,0.007004708278629418,0.009848511862364417,0.0
inmet_hourly,era5_forecast,era5,50.0,1,rmse,0.11068088370693221,0.10547594400045823,0.11590104224844852,0.0
inmet_hourly,era5_forecast,era5,100.0,1,rmse,0.3188441859090876,0.30724384009280353,0.3296717895049738,0.0
inmet_hourly,era5_forecast,era5,12.5,3,rmse,-0.0022998329567782846,-0.0025307936988609196,-0.0020717132880916176,1.0
inmet_hourly,era5_forecast,era5,25.0,3,rmse,0.008466807288777372,0.006701454434930543,0.0102952354253604,0.0
inmet_hourly,era5_forecast,era5,50.0,3,rmse,0.11074925428864653,0.1042459177175634,0.11735915629672414,0.0
inmet_hourly,era5_forecast,era5,100.0,3,rmse,0.31905573421328376,0.3044378528950028,0.33361913330081305,0.0
inmet_hourly,era5_forecast,era5,12.5,5,rmse,-0.0022972234631433936,-0.0025693633897981957,-0.002052244283801846,1.0
inmet_hourly,era5_forecast,era5,25.0,5,rmse,0.00847334624392877,0.006552189326713399,0.010434942960504536,0.0
inmet_hourly,era5_forecast,era5,50.0,5,rmse,0.11071669708835424,0.10334056242376008,0.11799782511650107,0.0
inmet_hourly,era5_forecast,era5,100.0,5,rmse,0.3189431742908511,0.3021263347444446,0.3350900416563566,0.0
inmet_hourly,era5_forecast,era5,12.5,7,rmse,-0.0023024623951264653,-0.0025493334086016868,-0.002055697807640783,1.0
inmet_hourly,era5_forecast,era5,25.0,7,rmse,0.008456965154731069,0.006439545190420332,0.01046818540502761,0.0
inmet_hourly,era5_forecast,era5,50.0,7,rmse,0.11076365279540511,0.10282434733066428,0.11829789336104311,0.0
inmet_hourly,era5_forecast,era5,100.0,7,rmse,0.3191616562654317,0.3009592436347767,0.3370287800240231,0.0
inmet_hourly,era5_forecast,station,12.5,1,centred_rmse,0.0015880047993608358,0.0013455214122870152,0.0018318253706920637,0.0
inmet_hourly,era5_forecast,station,25.0,1,centred_rmse,0.03686128011979589,0.034881612100814814,0.03884206365082484,0.0
inmet_hourly,era5_forecast,station,50.0,1,centred_rmse,0.12767371081443601,0.12308971418164041,0.13218814755473512,0.0
inmet_hourly,era5_forecast,station,100.0,1,centred_rmse,0.2729884131994685,0.2650944965312499,0.28079760619887545,0.0
inmet_hourly,era5_forecast,station,12.5,3,centred_rmse,0.0015912149598633814,0.0012544047827644956,0.0019302812276547564,0.0
inmet_hourly,era5_forecast,station,25.0,3,centred_rmse,0.03690641640338062,0.03396014813116801,0.03980108435998379,0.0
inmet_hourly,era5_forecast,station,50.0,3,centred_rmse,0.12779282268783168,0.12110939256036689,0.13456274224722153,0.0
inmet_hourly,era5_forecast,station,100.0,3,centred_rmse,0.2731953699160508,0.2616399260383407,0.2842393462548375,0.0
inmet_hourly,era5_forecast,station,12.5,5,centred_rmse,0.0015960308512721895,0.001196342605188844,0.0019738607237098026,0.0
inmet_hourly,era5_forecast,station,25.0,5,centred_rmse,0.03693092531317346,0.033312773479029265,0.04033722271210102,0.0
inmet_hourly,era5_forecast,station,50.0,5,centred_rmse,0.1278429490425723,0.11978860772923018,0.13551949564723034,0.0
