network,model,reference,sigma_km,change,ci_low,ci_high,metric,block_days,p_smoothing_improves,figure_panel,ladder,weighting,support_km,optimal_sigma_km_point,optimal_sigma_km_bootstrap_mean,optimal_sigma_ci_low_km,optimal_sigma_ci_high_km,p_optimal_sigma_gt_zero,route,thinning_mean,thinning_median,thinning_ci_low,thinning_ci_high
midas_open_uk,graphcast_hres_init,station,25.0,0.0628670785329345,0.0463696039626451,0.0789187168720196,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,graphcast_hres_init,station,50.0,0.2113592332140775,0.1716820396169225,0.2490460310226894,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,graphcast_hres_init,station,100.0,0.488180069462214,0.4243233001518665,0.5486368250219391,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,ifs_hres,era5,12.5,-0.0518617576348241,-0.0549409006497555,-0.0488957626745017,rmse,7.0,1.0,b,,,,,,,,,,,,,
midas_open_uk,ifs_hres,era5,25.0,-0.1206358970169914,-0.1373005894335666,-0.1036674061651445,rmse,7.0,1.0,b,,,,,,,,,,,,,
midas_open_uk,ifs_hres,era5,50.0,0.0136492462115044,-0.0320519809827939,0.0628463599722906,rmse,7.0,0.2985,b,,,,,,,,,,,,,
midas_open_uk,ifs_hres,era5,100.0,0.3711085317344729,0.2942852357146881,0.4548217505422327,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,ifs_hres,station,12.5,0.0104403238495469,0.0068154131509446,0.0146226093257243,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,ifs_hres,station,25.0,0.0474435094075632,0.0282613017524274,0.068604515140709,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,ifs_hres,station,50.0,0.1714875555707569,0.1270052297088364,0.2197165047346852,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,ifs_hres,station,100.0,0.4242385186271316,0.3513098008217868,0.5042388804858725,rmse,7.0,0.0,b,,,,,,,,,,,,,
midas_open_uk,pangu_hres_init,era5,12.5,-0.0071470536693625,-0.0088520162269703,-0.0054151081577361,rmse,7.0,1.0,b,,,,,,,,,,,,,
midas_open_uk,pangu_hres_init,era5,25.0,0.0343607766312257,0.0256706772440995,0.0437074502573713,rmse,7.0,0.0,b,,,,,,,,,,,,,
