network,model,model_family,cohort,reference,sigma_km,metric,score,n_days
inmet_hourly,graphcast_era5,graphcast,era5_initialised,station,25.0,mae,1.3574286986834196,365
inmet_hourly,graphcast_era5,graphcast,era5_initialised,station,50.0,mae,1.4464948815438736,365
inmet_hourly,graphcast_era5,graphcast,era5_initialised,station,100.0,mae,1.5832379830441692,365
inmet_hourly,graphcast_era5,graphcast,era5_initialised,station,0.0,rmse,1.7601217430528295,365
inmet_hourly,graphcast_era5,graphcast,era5_initialised,station,12.5,rmse,1.765104718208708,365
inmet_hourly,graphcast_era5,graphcast,era5_initialised,station,25.0,rmse,1.8249467866306777,365
inmet_hourly,graphcast_era5,graphcast,era5_initialised,station,50.0,rmse,1.9489988354302927,365
inmet_hourly,graphcast_era5,graphcast,era5_initialised,station,100.0,rmse,2.1401872580191244,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,0.0,centred_rmse,0.9323544355062541,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,12.5,centred_rmse,0.9207263928948768,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,25.0,centred_rmse,0.9058014897661121,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,50.0,centred_rmse,1.0162781527015565,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,100.0,centred_rmse,1.2378622588100852,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,0.0,mae,0.7177557078183237,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,12.5,mae,0.7094162540927614,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,25.0,mae,0.697235576885155,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,50.0,mae,0.7888241174221519,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,100.0,mae,0.9648172537690037,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,0.0,rmse,0.9401321459888698,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,12.5,rmse,0.9278526384936194,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,25.0,rmse,0.9105608078103539,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,50.0,rmse,1.0174609043247929,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,era5,100.0,rmse,1.2395653449201742,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,0.0,centred_rmse,1.612849895544274,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,12.5,centred_rmse,1.620910730319068,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,25.0,centred_rmse,1.7098622241694832,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,50.0,centred_rmse,1.8433589882592323,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,100.0,centred_rmse,2.024588265569811,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,0.0,mae,1.209129627991136,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,12.5,mae,1.2150093116437612,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,25.0,mae,1.2857863197348687,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,50.0,mae,1.3874092053477207,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,100.0,mae,1.525690143991083,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,0.0,rmse,1.6168835978357392,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,12.5,rmse,1.6253498380708982,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,25.0,rmse,1.7157354634587116,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,50.0,rmse,1.8526965387221452,365
inmet_hourly,graphcast_hres_init,graphcast,hres_initialised,station,100.0,rmse,2.046661386742746,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,0.0,centred_rmse,1.0614316512771984,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,12.5,centred_rmse,1.055726146249113,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,25.0,centred_rmse,1.050228756969497,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,50.0,centred_rmse,1.1424523270137075,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,100.0,centred_rmse,1.3355622145582893,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,0.0,mae,0.8168606328363224,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,12.5,mae,0.8115080643984012,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,25.0,mae,0.8060839133561843,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,50.0,mae,0.8849396147586145,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,100.0,mae,1.0397396093731601,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,0.0,rmse,1.0750378806476333,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,12.5,rmse,1.0689643371990638,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,25.0,rmse,1.0615964712844344,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,50.0,rmse,1.1482568700366882,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,era5,100.0,rmse,1.3355663931456094,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,0.0,centred_rmse,1.7291900326608418,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,12.5,centred_rmse,1.7326205442378744,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,25.0,centred_rmse,1.7938088631971936,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,50.0,centred_rmse,1.9153045548408487,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,100.0,centred_rmse,2.0824955553501736,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,0.0,mae,1.3002189529884811,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,12.5,mae,1.302835918406604,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,25.0,mae,1.3523327707079102,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,50.0,mae,1.4470870040635941,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,100.0,mae,1.573765027316185,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,0.0,rmse,1.730385940136474,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,12.5,rmse,1.7339196759533502,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,25.0,rmse,1.795586485134491,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,50.0,rmse,1.9190294114439783,365
inmet_hourly,ifs_ens_mean,ifs_ensemble,operational_ensemble_mean,station,100.0,rmse,2.0953209759607825,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,0.0,centred_rmse,1.1524025287277648,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,12.5,centred_rmse,1.1349479546612877,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,25.0,centred_rmse,1.0907046822291346,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,50.0,centred_rmse,1.1628397519254445,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,100.0,centred_rmse,1.3413024547720416,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,0.0,mae,0.8644661523194374,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,12.5,mae,0.8504794424672902,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,25.0,mae,0.8139228548996353,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,50.0,mae,0.8858080547945114,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,100.0,mae,1.0415273681616253,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,0.0,rmse,1.153676355241789,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,12.5,rmse,1.1360052598754624,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,25.0,rmse,1.0911871186977435,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,50.0,rmse,1.162861255740574,365
inmet_hourly,ifs_hres,ifs,hres_initialised,era5,100.0,rmse,1.3463836545208279,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,0.0,centred_rmse,1.7310390800151036,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,12.5,centred_rmse,1.7361876071659712,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,25.0,centred_rmse,1.8109353890980566,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,50.0,centred_rmse,1.9261142630064174,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,100.0,centred_rmse,2.086034384463586,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,0.0,mae,1.2946708955244488,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,12.5,mae,1.299081452994021,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,25.0,mae,1.3627370531273464,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,50.0,mae,1.455430497096919,365
inmet_hourly,ifs_hres,ifs,hres_initialised,station,100.0,mae,1.5811510214318802,365
