network,ladder,model,draw,support_km,metric,stations_kept,optimal_sigma_km,n_centres
inmet_hourly,prospective_common,graphcast_hres_init,16,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,17,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,17,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,17,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,17,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,18,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,18,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,18,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,18,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,19,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,19,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,19,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,19,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,20,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,20,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,20,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,20,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,21,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,21,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,21,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,21,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,22,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,22,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,22,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,22,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,23,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,23,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,23,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,23,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,24,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,24,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,24,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,24,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,25,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,25,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,25,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,25,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,26,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,26,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,26,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,26,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,27,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,27,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,27,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,27,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,28,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,28,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,28,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,28,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,29,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,29,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,29,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,29,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,30,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,30,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,30,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,30,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,31,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,31,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,31,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,31,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,32,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,32,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,32,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,32,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,33,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,33,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,33,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,33,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,34,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,34,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,34,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,34,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,35,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,35,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,35,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,35,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,36,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,36,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,36,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,36,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,37,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,37,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,37,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,37,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,38,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,38,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,38,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,38,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,39,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,39,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,39,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,39,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,40,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,40,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,40,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,40,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,41,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,41,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,41,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,41,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,42,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,42,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,42,100.0,mae,3,50.0,37
