network,ladder,model,weighting,support_km,metric,sigma_km,score,n_centres,n_days
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,mae,100.0,0.9552046733372457,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,0.0,2.1651184356321838,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,12.5,2.198004962675262,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,25.0,2.4324066015033883,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,50.0,2.7045651995958293,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,100.0,3.08978942316606,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,0.0,1.639374290522748,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,12.5,1.6130383718683663,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,25.0,1.4438830455572669,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,50.0,1.6105878167904568,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,100.0,2.090564013723941,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,0.0,1.589592611878457,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,12.5,1.5547406759315403,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,25.0,1.3146847083622557,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,50.0,1.2100072276240068,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,100.0,1.538587478317322,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,0.0,1.7198087762808385,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,12.5,1.6811086876514751,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,25.0,1.410116646864172,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,50.0,1.1366976709225793,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,100.0,1.2245697520610577,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,0.0,1.5906613786618358,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,12.5,1.6155512565434456,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,25.0,1.8075727854434076,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,50.0,1.994179701397082,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,100.0,2.2735670128033045,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,0.0,1.284215648189992,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,12.5,1.274091760711659,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,25.0,1.2588919586151397,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,50.0,1.4496754802912408,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,100.0,1.8391503356141745,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,0.0,1.2285846090465404,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,12.5,1.1963011469884974,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,25.0,1.0412938652955324,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,50.0,1.0915468561850028,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,100.0,1.4530323029188652,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,0.0,1.291447759295898,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,12.5,1.2498017738113794,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,25.0,1.02140561814721,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,50.0,0.8815316854011488,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,100.0,1.0911702786188688,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,0.0,2.228390689030989,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,12.5,2.2596187881060206,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,25.0,2.4976311308911194,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,50.0,2.762840873625849,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,100.0,3.135518528207432,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,0.0,1.6815358072715836,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,12.5,1.6699768588043917,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,25.0,1.6783452525947544,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,50.0,1.943465342154993,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,100.0,2.4108851911727074,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,0.0,1.5706403575255576,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,12.5,1.532500617176533,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,25.0,1.3359528127088336,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,50.0,1.4115515175629694,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,100.0,1.8452485374601257,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,0.0,1.6409617132887382,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,12.5,1.5926913241870884,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,25.0,1.3151404581941655,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,50.0,1.1440161467704948,37,365
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,100.0,1.385135794244536,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,0.0,1.5906613786618358,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,12.5,1.6155512565434456,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,25.0,1.8075727854434076,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,50.0,1.994179701397082,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,100.0,2.2735670128033045,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,0.0,1.365107667845016,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,12.5,1.3375983990006326,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,25.0,1.186399407233915,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,50.0,1.2983954076143043,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,100.0,1.6798018535774402,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,0.0,1.3188506610644863,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,12.5,1.2793606530736163,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,25.0,1.084255560760436,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,50.0,1.0100219045021093,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,100.0,1.2757754115691675,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,0.0,1.4249372917447383,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,12.5,1.384276579509971,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,25.0,1.1503798837424115,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,50.0,0.940186734778619,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,100.0,1.0193301963037045,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,0.0,2.228390689030989,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,12.5,2.2596187881060206,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,25.0,2.4976311308911194,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,50.0,2.762840873625849,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,100.0,3.135518528207432,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,0.0,1.7636292666934499,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,12.5,1.7289237813180474,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,25.0,1.5461150956045782,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,50.0,1.7002514683411818,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,100.0,2.1554724797810962,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,0.0,1.6851042878142637,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,12.5,1.6426899661777976,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,25.0,1.3993449649179208,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,50.0,1.3060932650764534,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,100.0,1.614242969425906,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,0.0,1.8016699692857736,37,365
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,12.5,1.7545734572250056,37,365
