network,ladder,model,weighting,support_km,metric,block_days,optimal_sigma_km_point,optimal_sigma_km_bootstrap_mean,optimal_sigma_ci_low_km,optimal_sigma_ci_high_km,p_optimal_sigma_gt_zero
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,5,0.0,0.0125,0.0,0.0,0.001
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,mae,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,mae,7,0.0,0.00625,0.0,0.0,0.0005
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,mae,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,mae,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,0.0,rmse,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,50.0,rmse,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,100.0,rmse,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,3,50.0,49.9875,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,5,50.0,49.975,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,7,50.0,49.9375,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,7,50.0,50.0,50.0,50.0,1.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,1,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,1,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,1,0.0,1.71875,0.0,12.5,0.1375
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,1,12.5,11.41875,0.0,12.5,0.9135
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,3,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,3,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,3,0.0,2.43125,0.0,12.5,0.1945
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,3,12.5,11.03125,0.0,12.5,0.8825
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,5,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,5,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,5,0.0,2.73125,0.0,12.5,0.2185
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,5,12.5,10.70625,0.0,12.5,0.8565
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,7,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,7,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,7,0.0,3.00625,0.0,12.5,0.2405
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,7,12.5,10.74375,0.0,12.5,0.8595
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,1,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,rmse,1,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,rmse,1,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,rmse,1,12.5,11.5375,0.0,12.5,0.923
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,3,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,rmse,3,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,rmse,3,0.0,0.1375,0.0,0.0,0.011
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,rmse,3,12.5,11.25625,0.0,12.5,0.9005
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,5,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,rmse,5,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,rmse,5,0.0,0.175,0.0,0.0,0.014
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,rmse,5,12.5,11.15625,0.0,12.5,0.8925
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,7,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,rmse,7,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,rmse,7,0.0,0.2625,0.0,0.0,0.021
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,rmse,7,12.5,10.8625,0.0,12.5,0.869
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,0.0,mae,1,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,25.0,mae,1,0.0,0.00625,0.0,0.0,0.0005
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,50.0,mae,1,12.5,9.91875,0.0,12.5,0.7935
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,100.0,mae,1,12.5,12.45,12.5,12.5,0.996
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,0.0,mae,3,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,25.0,mae,3,0.0,0.1,0.0,0.0,0.008
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,50.0,mae,3,12.5,9.3,0.0,12.5,0.744
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,100.0,mae,3,12.5,12.3875,12.5,12.5,0.9905
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,0.0,mae,5,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,25.0,mae,5,0.0,0.21875,0.0,0.0,0.0175
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,50.0,mae,5,12.5,8.80625,0.0,12.5,0.7045
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,100.0,mae,5,12.5,12.35,12.5,12.5,0.9875
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,0.0,mae,7,0.0,0.0,0.0,0.0,0.0
midas_open_uk,exact_preregistered,graphcast_hres_init,uniform,25.0,mae,7,0.0,0.23125,0.0,0.0,0.0185
